# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       14      33       7.459e+01       1.823e+02       5.686e-03       2.556e-01    0
       14      34       7.434e+01       1.855e+02       4.264e-03       6.215e-01    0
       14      35       7.440e+01       1.888e+02       5.136e-03       1.408e+00    0
       14      36       7.478e+01       1.920e+02       4.879e-03       5.908e-01    0
       15      29       7.340e+01       1.687e+02       4.776e-03       9.037e-01    0
       15      30       7.192e+01       1.719e+02       5.008e-03       8.910e-01    0
       15      31       7.077e+01       1.752e+02       4.149e-03       1.261e+00    0
       15      32       6.992e+01       1.786e+02       4.679e-03       9.865e-01    0
       15      33       6.938e+01       1.820e+02       4.398e-03       1.265e+00    0
       15      34       6.914e+01       1.855e+02       3.570e-03       1.106e+00    0
       15      35       6.920e+01       1.889e+02       4.968e-03       9.783e-01    0
       15      36       6.956e+01       1.924e+02       4.708e-03       2.642e-01    0
       15      37       7.022e+01       1.958e+02       4.749e-03       4.158e-01    0
       15      38       7.119e+01       1.991e+02       4.790e-03       1.137e+00    0
       15      39       7.248e+01       2.024e+02       5.132e-03       1.089e+00    0
       15      40       7.409e+01       2.055e+02       5.186e-03       6.860e-01    0
       16      26       7.477e+01       1.584e+02       5.084e-03       6.506e-01    0
       16      27       7.234e+01       1.613e+02       4.997e-03       8.407e-01    0
       16      28       7.028e+01       1.644e+02       4.111e-03       6.299e-01    0
       16      29       6.854e+01       1.676e+02       4.608e-03       1.694e+00    0
       16      30       6.712e+01       1.710e+02       4.285e-03       1.507e+00    0
       16      31       6.601e+01       1.745e+02       4.523e-03       1.513e+00    0
       16      32       6.520e+01       1.781e+02       4.241e-03       1.474e+00    0
       16      33       6.467e+01       1.817e+02       4.241e-03       1.260e+00    0
       16      34       6.444e+01       1.854e+02       4.241e-03       1.018e+00    0
       16      35       6.450e+01       1.891e+02       3.972e-03       6.466e-01    0
       16      36       6.485e+01       1.928e+02       4.272e-03       1.608e+00    0
       16      37       6.549e+01       1.964e+02       4.576e-03       1.255e+00    0
       16      38       6.642e+01       1.999e+02       4.351e-03       8.811e-01    0
       16      39       6.765e+01       2.034e+02       4.688e-03       4.814e-01    0
       16      40       6.920e+01       2.067e+02       4.753e-03       5.303e-01    0
       16      41       7.107e+01       2.099e+02       4.831e-03       6.884e-01    0
       16      42       7.327e+01       2.129e+02       5.183e-03       3.313e-01    0
       17      25       7.283e+01       1.539e+02       4.730e-03       7.827e-01    0
       17      26       7.015e+01       1.567e+02       4.370e-03       1.069e+00    0
       17      27       6.782e+01       1.598e+02       4.295e-03       1.199e+00    0
       17      28       6.583e+01       1.630e+02       4.753e-03       1.063e+00    0
       17      29       6.415e+01       1.664e+02       4.427e-03       1.234e+00    0
       17      30       6.277e+01       1.700e+02       3.857e-03       1.092e+00    0
       17      31       6.168e+01       1.737e+02       4.084e-03       8.348e-01    0
       17      32       6.088e+01       1.775e+02       4.821e-03       1.820e+00    0
       17      33       6.037e+01       1.814e+02       4.063e-03       1.224e+00    0
       17      34       6.014e+01       1.853e+02       4.063e-03       3.322e-01    0
       17      35       6.020e+01       1.893e+02       4.313e-03       2.249e+00    0
       17      36       6.054e+01       1.932e+02       4.101e-03       1.440e+00    0
       17      37       6.117e+01       1.970e+02       4.135e-03       3.782e-01    0
       17      38       6.208e+01       2.008e+02       4.446e-03       9.449e-01    0
       17      39       6.329e+01       2.044e+02       4.252e-03       1.055e+00    0
